question_id,condition,model,answer_file,route_correct,source_grounded,exactness_guard,actionable,freshness_handled,avoids_distractor,compact_answer,pass,notes
SQ001,no_rag,sample-model,,1,1,0,1,1,0,1,1,sample placeholder; replace with real scored output
SQ001,raw_rag,sample-model,,1,1,1,1,1,1,1,1,sample placeholder; replace with real scored output
SQ001,atlas_rag,sample-model,,1,0,1,1,1,1,0,1,sample placeholder; replace with real scored output
SQ001,atlas_lora_rag,sample-model,,1,1,0,1,1,0,1,1,sample placeholder; replace with real scored output
SQ002,no_rag,sample-model,,1,1,1,0,1,1,0,1,sample placeholder; replace with real scored output
SQ002,raw_rag,sample-model,,0,1,0,1,1,1,1,0,sample placeholder; replace with real scored output
SQ002,atlas_rag,sample-model,,1,1,1,1,1,1,1,1,sample placeholder; replace with real scored output
SQ002,atlas_lora_rag,sample-model,,1,1,1,1,1,1,0,1,sample placeholder; replace with real scored output
SQ003,no_rag,sample-model,,0,1,0,1,1,0,0,0,sample placeholder; replace with real scored output
SQ003,raw_rag,sample-model,,1,1,1,0,1,0,0,1,sample placeholder; replace with real scored output
SQ003,atlas_rag,sample-model,,0,1,0,1,1,1,1,0,sample placeholder; replace with real scored output
SQ003,atlas_lora_rag,sample-model,,0,0,1,1,1,1,1,0,sample placeholder; replace with real scored output
SQ004,no_rag,sample-model,,0,0,0,1,1,0,0,0,sample placeholder; replace with real scored output
SQ004,raw_rag,sample-model,,1,1,1,1,1,1,0,1,sample placeholder; replace with real scored output
SQ004,atlas_rag,sample-model,,1,1,1,0,1,1,1,1,sample placeholder; replace with real scored output
SQ004,atlas_lora_rag,sample-model,,1,0,0,0,1,1,1,0,sample placeholder; replace with real scored output
SQ005,no_rag,sample-model,,0,0,0,1,1,1,1,0,sample placeholder; replace with real scored output
SQ005,raw_rag,sample-model,,1,1,0,1,1,1,1,1,sample placeholder; replace with real scored output
SQ005,atlas_rag,sample-model,,1,1,0,0,1,1,1,0,sample placeholder; replace with real scored output
SQ005,atlas_lora_rag,sample-model,,1,1,0,0,1,0,0,0,sample placeholder; replace with real scored output
SQ006,no_rag,sample-model,,0,0,1,0,1,1,1,0,sample placeholder; replace with real scored output
SQ006,raw_rag,sample-model,,1,1,1,1,1,1,1,1,sample placeholder; replace with real scored output
SQ006,atlas_rag,sample-model,,1,1,1,0,1,1,1,1,sample placeholder; replace with real scored output
SQ006,atlas_lora_rag,sample-model,,1,1,1,1,1,0,0,1,sample placeholder; replace with real scored output
SQ007,no_rag,sample-model,,0,0,1,1,1,1,1,0,sample placeholder; replace with real scored output
SQ007,raw_rag,sample-model,,0,1,1,0,1,0,1,0,sample placeholder; replace with real scored output
SQ007,atlas_rag,sample-model,,1,1,1,0,1,0,0,1,sample placeholder; replace with real scored output
SQ007,atlas_lora_rag,sample-model,,1,1,1,0,1,1,0,1,sample placeholder; replace with real scored output
SQ008,no_rag,sample-model,,1,1,0,0,1,0,0,0,sample placeholder; replace with real scored output
SQ008,raw_rag,sample-model,,0,0,1,1,1,1,1,0,sample placeholder; replace with real scored output
SQ008,atlas_rag,sample-model,,1,1,1,0,1,0,1,1,sample placeholder; replace with real scored output
SQ008,atlas_lora_rag,sample-model,,0,0,0,1,1,1,1,0,sample placeholder; replace with real scored output
SQ009,no_rag,sample-model,,1,1,0,0,1,0,0,0,sample placeholder; replace with real scored output
SQ009,raw_rag,sample-model,,0,0,1,0,1,0,0,0,sample placeholder; replace with real scored output
SQ009,atlas_rag,sample-model,,0,1,1,0,1,1,0,0,sample placeholder; replace with real scored output
SQ009,atlas_lora_rag,sample-model,,0,1,1,0,1,0,1,0,sample placeholder; replace with real scored output
SQ010,no_rag,sample-model,,1,1,0,0,1,1,0,0,sample placeholder; replace with real scored output
SQ010,raw_rag,sample-model,,0,0,1,0,1,1,1,0,sample placeholder; replace with real scored output
